Converting 157 PDF(s) -> /home/emz/Workdir/honda-nt1100/Service Manual/markdown
  OK Air Box Crankcase Breathers: 2 page(s), 2 image(s)
  OK Spark Plug: 2 page(s), 2 image(s)
  OK PGM-FI - System Diagram: 1 page(s), 1 image(s)
  OK Sprockets: 1 page(s), 2 image(s)
  OK Stand-Centre: 1 page(s), 1 image(s)
  OK Stand-Side Remove: 2 page(s), 2 image(s)
  OK Stand-Side Install: 2 page(s), 2 image(s)
  OK Stand-Side Switch Inspection: 1 page(s), 1 image(s)
  OK Stand-Side Switch: 3 page(s), 5 image(s)
  OK Valve Clearance - Intake: 2 page(s), 4 image(s)
  OK Valve Clearance: 7 page(s), 17 image(s)
  OK NT1100 Wiring Diagram: 3 page(s), 3 image(s)
  OK WShop Manual - Maintenance Schedule: 2 page(s), 2 image(s)
  OK Valve Specifications: 1 page(s), 1 image(s)
  OK WShop Manual - Abbreviations: 1 page(s), 1 image(s)
  OK WShop Manual - Symbols: 2 page(s), 11 image(s)
  OK WShop Manual - Torque Values - Standard: 1 page(s), 2 image(s)
  OK Wheels - Front Disassembly&Assembly: 2 page(s), 4 image(s)
  OK Wheels - Front Install: 3 page(s), 5 image(s)
  OK Wheels - Front Removal: 2 page(s), 3 image(s)
  OK Wheels - Rear Bearing Replacement: 3 page(s), 6 image(s)
  OK Wheels - Rear Disassembly&Assembly: 1 page(s), 1 image(s)
  OK Wheels - Rear Install: 2 page(s), 3 image(s)
  OK Wheels - Rear Removal: 2 page(s), 3 image(s)
  OK Wheels - Speed Sensor Gaps: 1 page(s), 1 image(s)
  OK Windscreen Rail: 1 page(s), 1 image(s)
  OK Windscreen Remove&Install: 1 page(s), 1 image(s)
  OK NT1100 PDI: 24 page(s), 61 image(s)
  OK Windscreen Stay: 1 page(s), 1 image(s)
  OK WShop Manual - Special Tools: 5 page(s), 5 image(s)
  OK WShop Manual - Torque Values - Engine&Frame: 16 page(s), 17 image(s)

Done: 157/157 succeeded.
